id;cidade;id_estado;latitude;longitude;cod_ibge;cod_ddd;area_km
4257;Ponte Branca;13;-16.75877000;-52.83752000;5106703;66;686.32
4258;Ribeirãozinho;13;-16.48579000;-52.69244000;5107198;66;625.81
4259;Araguainha;13;-16.85710000;-53.03211000;5101209;66;687.78
4260;General Carneiro;13;-15.70658000;-52.75519000;5103908;66;3710.46
4261;Novo São Joaquim;13;-14.90686000;-53.01862000;5106281;66;5231.30
4262;Santo Antônio do Leste;13;-14.80574000;-53.60843000;5107792;66;3404.57
4263;Campinápolis;13;-13.87219000;-52.75605000;5102603;66;5981.71
4264;Água Boa;13;-14.05714000;-52.16203300;5100201;66;7510.64
4265;Nova Nazaré;13;-13.99070000;-51.79051000;5106174;66;4037.50
4266;Canarana;13;-13.55651000;-52.27281000;5102702;66;10882.38
4267;Querência;13;-12.59868000;-52.20468000;5107065;66;17786.20
4268;Vila Rica;13;-10.01457000;-51.11700000;5108600;66;7431.48
4269;Santa Terezinha;13;-10.47373510;-50.51567200;5107776;66;6466.89
4270;Confresa;13;-15.58233000;-56.06750000;5103353;66;5801.95
4271;Porto Alegre do Norte;13;-10.87986000;-51.63144000;5106778;66;3972.25
4272;Canabrava do Norte;13;-11.05221000;-51.83072000;5102694;66;3452.68
4273;Luciara;13;-11.22228000;-50.66724000;5105309;66;4243.03
4274;São José do Xingu;13;-16.56228000;-54.29876000;5107354;66;7459.65
4275;Santa Cruz do Xingu;13;-10.15571000;-52.39169000;5107743;66;5651.75
4276;Alto Boa Vista;13;-11.67291000;-51.37932000;5100359;66;2240.44
4277;Serra Nova Dourada;13;-12.09179000;-51.40171000;5107883;66;1500.39
4278;São Félix do Araguaia;13;-11.61818000;-50.66732000;5107859;66;16713.48
4279;Novo Santo Antônio;13;-12.29002000;-50.96875000;5106315;66;4393.80
4280;Ribeirão Cascalheira;13;-12.93733000;-51.82439000;5107180;66;11354.81
4281;Bom Jesus do Araguaia;13;-12.17803870;-51.50811710;5101852;66;4274.22
4282;Cocalinho;13;-14.39533000;-51.00649000;5103106;66;16516.32
4283;Araguaiana;13;-15.72808000;-51.83552000;5101001;66;6422.97
4284;Nova Xavantina;13;-14.67604000;-52.35315000;5106257;66;5530.39
4285;Torixoréu;13;-15.57251320;-56.02750980;5108204;66;2398.21
4286;Pontal do Araguaia;13;-15.89590000;-52.25637000;5106653;66;2736.62
4287;Rondonópolis;13;-16.44534000;-54.61643000;5107602;66;4686.62
4288;Guiratinga;13;-16.34550000;-53.77145000;5104203;66;5044.14
4289;Alto Garças;13;-16.94573000;-53.52945000;5100409;66;3866.92
4290;São José do Povo;13;-16.46606000;-54.25438000;5107297;66;448.29
4291;Tesouro;13;-16.07939000;-53.55239000;5108105;66;4285.71
4292;Alto Araguaia;13;-17.31811190;-53.21237400;5100300;66;5399.29
4293;Alto Taquari;13;-17.82208050;-53.26115140;5100607;66;1440.40
4294;Itiquira;13;-17.20857000;-54.14716000;5104609;65;8659.91
4295;Pedra Preta;13;-16.62108000;-54.47010000;5106372;66;4049.47
4296;Poxoréu;13;-15.54870000;-56.03311000;5107008;66;6874.16
4297;Juscimeira;13;-16.05162000;-54.88755000;5105200;66;2292.76
4298;Jaciara;13;-15.94491000;-54.97030000;5104807;66;1676.97
4299;Dom Aquino;13;-15.46590000;-55.73263000;5103601;66;2218.19
4300;São Pedro da Cipa;13;-16.00639000;-54.91825000;5107404;66;342.95
4301;Campo Verde;13;-15.54746000;-55.16143000;5102678;66;4768.08
4302;Primavera do Leste;13;-15.55884000;-54.30670000;5107040;66;5482.07
4303;Planalto da Serra;13;-14.65810000;-54.78551000;5106455;66;2442.45
4304;Nova Brasilândia;13;-14.93608000;-54.97568000;5106208;66;3276.79
4305;Paranatinga;13;-14.43017000;-54.05073000;5106307;66;24162.44
4306;Gaúcha do Norte;13;-13.18112000;-53.25475000;5103858;66;16934.30
4307;Vera;13;-12.28670000;-55.29873000;5108501;66;2962.69
4308;Feliz Natal;13;-12.38447000;-54.93057000;5103700;66;11679.00
4309;Nova Ubiratã;13;-13.03172000;-55.25469000;5106240;66;12490.21
4310;Sorriso;13;-12.58055000;-55.74377000;5107925;66;9329.60
4311;Guarapuava;18;-25.38551000;-51.48154000;4109401;42;3178.65
4313;Campo Grande;12;-20.55193000;-54.65951000;5002704;67;8092.95
4314;Sao Jose dos Pinhais;18;-25.52377000;-49.13073000;4125506;41;946.44
4315;Rio Brilhante;12;-21.65136000;-54.42542000;5007208;67;3987.40
4316;Nova Alvorada do Sul;12;-21.45561000;-54.37772000;5006002;67;4019.32
4317;Maracaju;12;-21.62650000;-55.15996000;5005400;67;5299.18
4318;Sidrolândia;12;-20.93237000;-54.96584000;5007901;67;5286.41
4319;Ribas do Rio Pardo;12;-20.45226000;-53.76484000;5007109;67;17308.81
4320;Terenos;12;-20.44139000;-54.86236000;5008008;67;2841.69
4321;Aquidauana;12;-20.47785000;-55.79252000;5001102;67;16970.71
4322;Anastácio;12;-20.49051000;-55.80855000;5000708;67;2946.32
4323;Dois Irmãos do Buriti;12;-20.68705000;-55.28022000;5003488;67;2341.65
4324;Nioaque;12;-20.48827000;-54.74704000;5005806;67;3923.79
4325;Guia Lopes da Laguna;12;-21.46374000;-56.11087000;5004106;67;1210.61
4326;Jardim;12;-21.47563000;-56.15093000;5005004;67;2201.52
4327;Bela Vista;12;-22.10591000;-56.53342000;5002100;67;4892.60
4328;Caracol;12;-22.01134000;-57.02835000;5002803;67;2940.25
4329;Porto Murtinho;12;-21.69622000;-57.88613000;5006903;67;17744.41
4330;Bonito;12;-21.13094000;-56.48054000;5002209;67;4934.41
4331;Corumbá;12;-19.00711730;-57.63026280;5003207;67;64962.85
4332;Ladário;12;-19.00532000;-57.60132000;5005202;67;340.77
4333;Miranda;12;-20.23947310;-56.38241320;5005608;67;5475.37
4334;Bodoquena;12;-20.55261000;-56.68064000;5002159;67;2507.32
4335;Coxim;12;-18.50923000;-54.75896000;5003306;67;6409.22
4336;Pedro Gomes;12;-18.09974000;-54.54939000;5006408;67;3651.18
4337;Sonora;12;-17.58679000;-54.75182000;5007935;67;4075.42
4338;Camapuã;12;-19.53409000;-54.04265000;5002605;67;6229.62
4339;Figueirão;12;-18.67826000;-53.63575000;5003900;67;4882.87
4340;Bandeirantes;12;-19.91434000;-54.36763000;5001508;67;3115.68
4341;Jaraguari;12;-20.10202000;-54.43952000;5004908;67;2912.82
4342;Rochedo;12;-19.95692000;-54.88483000;5007505;67;1561.06
4343;Corguinho;12;-19.82275000;-54.83147000;5003108;67;2638.17
4344;Rio Negro;12;-19.44729000;-54.98627000;5007307;67;1807.67
4345;Rio Verde de Mato Grosso;12;-18.90905000;-54.83628000;5007406;67;8154.52
4346;São Gabriel do Oeste;12;-19.25524000;-54.32703000;5007695;67;3864.69
4347;Paranaíba;12;-19.68596270;-51.18989410;5006309;67;5402.65
4348;Alcinópolis;12;-18.32559000;-53.71413000;5000252;67;4399.68
4349;Cassilândia;12;-19.10837000;-51.73933000;5002902;67;3649.73
4350;Costa Rica;12;-18.54057000;-53.13267000;5003256;67;4164.12
4351;Paraíso das Águas;12;-19.02446000;-53.01057000;5006275;67;5032.47
4352;Chapadão do Sul;12;-18.79280000;-52.62621000;5002951;67;3248.12
4353;Aparecida do Taboado;12;-20.08491000;-51.11327000;5001003;67;2750.15
4354;Inocência;12;-19.72771000;-51.93189000;5004403;67;5776.03
4355;Selvíria;12;-20.47368000;-54.61089000;5007802;67;3258.33
4356;Três Lagoas;12;-20.78331000;-51.68576000;5008305;67;10206.95
4357;Brasilândia;12;-21.24601000;-52.03248000;5002308;67;5807.22
4358;Água Clara;12;-20.44736000;-52.87826000;5000203;67;7809.21
4359;Santa Rita do Pardo;12;-21.29878000;-52.82538000;5007554;67;6139.73
4360;Fátima do Sul;12;-22.37871000;-54.51003000;5003801;67;315.16
4361;Vicentina;12;-22.40924000;-54.43829000;5008404;67;310.16
4362;Jateí;12;-22.48132000;-54.30821000;5005103;67;1927.95
4363;Glória de Dourados;12;-22.41145000;-54.22824000;5004007;67;491.75
4364;Ivinhema;12;-22.30578000;-53.83452000;5004700;67;2010.17
4365;Novo Horizonte do Sul;12;-22.65465000;-53.85889000;5006259;67;849.10
4366;Nova Andradina;12;-22.23843760;-53.34421000;5006200;67;4776.00
4367;Batayporã;12;-21.47126000;-56.12875000;5002001;67;1828.02
4368;Taquarussu;12;-20.78039000;-51.70825000;5007976;67;1041.12
